Time,Frequency,dBFS
0,0,-inf
0,43.0664,-inf
0,86.1328,-inf
0,129.199,-inf
0,172.266,-inf
0,215.332,-inf
0,258.398,-inf
0,301.465,-inf
0,344.531,-inf
0,387.598,-inf
0,430.664,-inf
0,473.73,-inf
0,516.797,-inf
0,559.863,-inf
0,602.93,-inf
0,645.996,-inf
0,689.062,-inf
0,732.129,-inf
0,775.195,-inf
0,818.262,-inf
0,861.328,-inf
0,904.395,-inf
0,947.461,-inf
0,990.527,-inf
0,1033.59,-inf
0,1076.66,-inf
0,1119.73,-inf
0,1162.79,-inf
0,1205.86,-inf
0,1248.93,-inf
0,1291.99,-inf
0,1335.06,-inf
0,1378.12,-inf
0,1421.19,-inf
0,1464.26,-inf
0,1507.32,-inf
0,1550.39,-inf
0,1593.46,-inf
0,1636.52,-inf
0,1679.59,-inf
0,1722.66,-inf
0,1765.72,-inf
0,1808.79,-inf
0,1851.86,-inf
0,1894.92,-inf
0,1937.99,-inf
0,1981.05,-inf
0,2024.12,-inf
0,2067.19,-inf
0,2110.25,-inf
0,2153.32,-inf
0,2196.39,-inf
0,2239.45,-inf
0,2282.52,-inf
0,2325.59,-inf
0,2368.65,-inf
0,2411.72,-inf
0,2454.79,-inf
0,2497.85,-inf
0,2540.92,-inf
0,2583.98,-inf
0,2627.05,-inf
0,2670.12,-inf
0,2713.18,-inf
0,2756.25,-inf
0,2799.32,-inf
0,2842.38,-inf
0,2885.45,-inf
0,2928.52,-inf
0,2971.58,-inf
0,3014.65,-inf
0,3057.71,-inf
0,3100.78,-inf
0,3143.85,-inf
0,3186.91,-inf
0,3229.98,-inf
0,3273.05,-inf
0,3316.11,-inf
0,3359.18,-inf
0,3402.25,-inf
0,3445.31,-inf
0,3488.38,-inf
0,3531.45,-inf
0,3574.51,-inf
0,3617.58,-inf
0,3660.64,-inf
0,3703.71,-inf
0,3746.78,-inf
0,3789.84,-inf
0,3832.91,-inf
0,3875.98,-inf
0,3919.04,-inf
0,3962.11,-inf
0,4005.18,-inf
0,4048.24,-inf
0,4091.31,-inf
0,4134.38,-inf
0,4177.44,-inf
0,4220.51,-inf
0,4263.57,-inf
0,4306.64,-inf
0,4349.71,-inf
0,4392.77,-inf
0,4435.84,-inf
0,4478.91,-inf
0,4521.97,-inf
0,4565.04,-inf
